,"ACC","trial_id","Learning Method","training_size","partition_random_state","currerent_fold","data_percentage","batch_size","layer_model","lr","iter","total time (s)","val_loss"
1334,72.9273,"training_e3050_00000","TCL (Conv) DLH",400,1,1,0.00182325,16,"(3, 'TCL')",0.0363943,1,557.804,3.25589
1335,75.74,"training_e3050_00001","TCL (Conv) DLH",400,1,0,0.00182325,8,"(4, 'TCL')",5.07E-05,1,778.712,0.540596
1336,73.5256,"training_e3050_00002","TCL (Conv) DLH",400,0,3,0.00182325,8,"(5, 'TCL')",0.00040181,1,660.775,0.626038
1337,82.4099,"training_e3050_00003","TCL (Conv) DLH",400,1,1,0.00182325,16,"(6, 'TCL')",0.000281689,1,556.538,0.449775
1338,80.5725,"training_e3050_00004","TCL (Conv) DLH",600,0,4,0.00273488,64,"(3, 'TCL')",0.000188474,1,351.239,0.485428
1339,80.5251,"training_e3050_00005","TCL (Conv) DLH",600,0,2,0.00273488,64,"(4, 'TCL')",0.000128738,1,478.749,0.558005
1340,80.9589,"training_e3050_00006","TCL (Conv) DLH",600,1,1,0.00273488,16,"(5, 'TCL')",0.000669711,1,531.86,0.427253
1341,81.398,"training_e3050_00007","TCL (Conv) DLH",600,0,4,0.00273488,64,"(6, 'TCL')",0.00169453,1,412.833,0.462548
1342,47.9713,"training_e3050_00008","TCL (Conv) DLH",800,1,1,0.00364651,16,"(3, 'TCL')",0.0541486,1,543.563,7.72063
1343,80.7127,"training_e3050_00009","TCL (Conv) DLH",800,0,1,0.00364651,16,"(4, 'TCL')",0.00475763,1,525.756,0.455157
1344,66.4163,"training_e3050_00010","TCL (Conv) DLH",800,2,4,0.00364651,64,"(5, 'TCL')",0.000446548,1,432.393,0.613747
1345,78.4834,"training_e3050_00011","TCL (Conv) DLH",800,2,3,0.00364651,16,"(6, 'TCL')",0.00199278,1,428.771,0.511481
1346,78.6612,"training_e3050_00012","TCL (Conv) DLH",400,2,0,0.00182325,64,"(3, 'TCL')",0.000948387,1,544.451,0.526346
1347,24.1735,"training_e3050_00013","TCL (Conv) DLH",400,0,3,0.00182325,64,"(4, 'TCL')",0.0902569,1,469.538,2923.48
1348,61.6946,"training_e3050_00014","TCL (Conv) DLH",400,1,2,0.00182325,64,"(5, 'TCL')",0.000305794,1,533.471,0.677606
1349,63.2971,"training_e3050_00015","TCL (Conv) DLH",400,0,2,0.00182325,16,"(6, 'TCL')",3.62E-05,1,526.165,0.640346
1350,31.0252,"training_e3050_00016","TCL (Conv) DLH",600,0,1,0.00273488,64,"(3, 'TCL')",0.00771524,1,553.072,11.9818
1351,74.8124,"training_e3050_00017","TCL (Conv) DLH",600,2,1,0.00273488,16,"(4, 'TCL')",4.10E-05,1,565.444,0.527832
1352,67.5937,"training_e3050_00018","TCL (Conv) DLH",600,0,1,0.00273488,32,"(5, 'TCL')",0.00834484,1,521.026,0.618582
1353,81.0539,"training_e3050_00019","TCL (Conv) DLH",600,0,3,0.00273488,32,"(6, 'TCL')",0.0162744,1,423.217,0.443487
1354,50.3533,"training_e3050_00020","TCL (Conv) DLH",800,1,1,0.00364651,32,"(3, 'TCL')",0.00454889,1,556.001,0.932897
1355,76.5474,"training_e3050_00021","TCL (Conv) DLH",800,1,0,0.00364651,8,"(4, 'TCL')",0.000349526,1,789.009,0.491976
1356,64.4993,"training_e3050_00022","TCL (Conv) DLH",800,2,3,0.00364651,32,"(5, 'TCL')",0.000182818,1,472.781,0.628631
1357,75.9929,"training_e3050_00023","TCL (Conv) DLH",800,0,0,0.00364651,64,"(6, 'TCL')",8.01E-05,1,581.172,0.627725
1358,65.7227,"training_e3050_00024","TCL (Conv) DLH",400,0,4,0.00182325,32,"(3, 'TCL')",0.056068,1,364.405,265.165
1359,76.9497,"training_e3050_00025","TCL (Conv) DLH",400,1,2,0.00182325,8,"(4, 'TCL')",0.000664803,1,674.709,0.87424
1360,31.0208,"training_e3050_00026","TCL (Conv) DLH",400,1,1,0.00182325,64,"(5, 'TCL')",0.0189293,1,535.993,96.434
1361,63.4523,"training_e3050_00027","TCL (Conv) DLH",400,1,2,0.00182325,8,"(6, 'TCL')",0.0116287,1,789.101,0.714485
1362,78.5362,"training_e3050_00028","TCL (Conv) DLH",600,1,1,0.00273488,16,"(3, 'TCL')",0.0249145,1,554.132,4.83801
1363,68.0674,"training_e3050_00029","TCL (Conv) DLH",600,1,4,0.00273488,16,"(4, 'TCL')",0.00652393,1,387.004,0.775712
1364,81.0428,"training_e3050_00030","TCL (Conv) DLH",600,2,4,0.00273488,64,"(5, 'TCL')",0.000910293,1,373.555,0.461811
1365,62.838,"training_e3050_00031","TCL (Conv) DLH",600,0,0,0.00273488,64,"(6, 'TCL')",0.0581526,1,580.211,46.8441
1366,78.5108,"training_e3050_00032","TCL (Conv) DLH",800,1,3,0.00364651,16,"(3, 'TCL')",0.000103658,1,443.665,0.563202
1367,73.5683,"training_e3050_00033","TCL (Conv) DLH",800,2,1,0.00364651,64,"(4, 'TCL')",0.00178918,1,523.358,0.556756
1368,66.1455,"training_e3050_00034","TCL (Conv) DLH",800,0,0,0.00364651,8,"(5, 'TCL')",0.00123556,1,818.713,0.602872
1369,76.8473,"training_e3050_00035","TCL (Conv) DLH",800,0,4,0.00364651,8,"(6, 'TCL')",5.95E-05,1,508.711,0.50314
1370,80.1479,"training_e3050_00036","TCL (Conv) DLH",400,1,3,0.00182325,16,"(3, 'TCL')",0.00315463,1,439.249,0.442417
1371,67.5903,"training_e3050_00037","TCL (Conv) DLH",400,1,4,0.00182325,32,"(4, 'TCL')",0.0644108,1,387.573,123.378
1372,78.5824,"training_e3050_00038","TCL (Conv) DLH",400,0,3,0.00182325,16,"(5, 'TCL')",0.00234361,1,500.123,0.538611
1373,73.6796,"training_e3050_00039","TCL (Conv) DLH",400,1,2,0.00182325,16,"(6, 'TCL')",0.000100033,1,506.452,0.549639
1374,78.9544,"training_e3050_00040","TCL (Conv) DLH",600,0,2,0.00273488,64,"(3, 'TCL')",0.00204647,1,519.929,0.836155
1375,76.0374,"training_e3050_00041","TCL (Conv) DLH",600,1,0,0.00273488,64,"(4, 'TCL')",5.47E-05,1,528.849,0.635594
1376,66.4486,"training_e3050_00042","TCL (Conv) DLH",600,2,2,0.00273488,64,"(5, 'TCL')",6.90E-05,1,534.661,0.653909
1377,73.6003,"training_e3050_00043","TCL (Conv) DLH",600,1,1,0.00273488,8,"(6, 'TCL')",0.00108392,1,760.306,0.526546
1378,58.1642,"training_e3050_00044","TCL (Conv) DLH",800,1,4,0.00364651,16,"(3, 'TCL')",3.82E-05,1,345.531,0.69973
1379,62.3475,"training_e3050_00045","TCL (Conv) DLH",800,2,0,0.00364651,16,"(4, 'TCL')",3.35E-05,1,581.474,0.650863
1380,47.6215,"training_e3050_00046","TCL (Conv) DLH",800,2,4,0.00364651,64,"(5, 'TCL')",1.64E-05,1,394.542,0.683829
1381,28.4749,"training_e3050_00047","TCL (Conv) DLH",800,1,0,0.00364651,16,"(6, 'TCL')",0.0362232,1,560.98,0.732033
1382,67.6821,"training_e3050_00048","TCL (Conv) DLH",400,2,2,0.00182325,64,"(3, 'TCL')",0.00420123,1,519.998,1.34174
1383,57.4401,"training_e3050_00049","TCL (Conv) DLH",400,1,4,0.00182325,64,"(4, 'TCL')",0.0110216,1,351.087,7.22896
1384,51.2336,"training_e3050_00050","TCL (Conv) DLH",400,1,2,0.00182325,32,"(5, 'TCL')",1.47E-05,1,468.554,0.690914
1385,81.5518,"training_e3050_00051","TCL (Conv) DLH",400,2,1,0.00182325,64,"(6, 'TCL')",0.00436577,1,574.499,0.44117
1386,34.5505,"training_e3050_00052","TCL (Conv) DLH",600,1,3,0.00273488,32,"(3, 'TCL')",0.00963592,1,463.918,2.06271
1387,71.4292,"training_e3050_00053","TCL (Conv) DLH",600,0,0,0.00273488,16,"(4, 'TCL')",0.000109787,1,516.716,0.619044
1388,61.6106,"training_e3050_00054","TCL (Conv) DLH",600,2,3,0.00273488,16,"(5, 'TCL')",0.0101182,1,450.123,0.844857
1389,63.9531,"training_e3050_00055","TCL (Conv) DLH",600,2,2,0.00273488,16,"(6, 'TCL')",2.29E-05,1,503.79,0.655861
1390,78.9755,"training_e3050_00056","TCL (Conv) DLH",800,2,4,0.00364651,32,"(3, 'TCL')",0.000397247,1,386.939,0.494148
1391,76.7224,"training_e3050_00057","TCL (Conv) DLH",800,0,1,0.00364651,32,"(4, 'TCL')",5.47E-05,1,539.601,0.549402
1392,51.6714,"training_e3050_00058","TCL (Conv) DLH",800,1,4,0.00364651,32,"(5, 'TCL')",0.000420618,1,357.367,0.857378
1393,70.908,"training_e3050_00059","TCL (Conv) DLH",800,1,0,0.00364651,8,"(6, 'TCL')",0.0330463,1,827.153,0.668532
1394,76.9706,"training_e3050_00060","TCL (Conv) DLH",400,2,3,0.00182325,64,"(3, 'TCL')",1.99E-05,1,462.325,0.633376
1395,62.7362,"training_e3050_00061","TCL (Conv) DLH",400,2,2,0.00182325,8,"(4, 'TCL')",1.80E-05,1,701.454,0.6385
1396,78.1601,"training_e3050_00062","TCL (Conv) DLH",400,0,4,0.00182325,8,"(5, 'TCL')",0.000317662,1,503.491,0.471267
1397,76.9744,"training_e3050_00063","TCL (Conv) DLH",400,1,1,0.00182325,16,"(6, 'TCL')",0.00466295,1,565.189,0.619715
1398,44.9873,"training_e3050_00064","TCL (Conv) DLH",600,1,2,0.00273488,64,"(3, 'TCL')",0.00240514,1,537.519,1.36627
1399,72.997,"training_e3050_00065","TCL (Conv) DLH",600,2,4,0.00273488,32,"(4, 'TCL')",0.000119682,1,354.606,0.544954
1400,71.3903,"training_e3050_00066","TCL (Conv) DLH",600,1,0,0.00273488,32,"(5, 'TCL')",0.000121287,1,555.64,0.577598
1401,80.6971,"training_e3050_00067","TCL (Conv) DLH",600,1,0,0.00273488,16,"(6, 'TCL')",0.000281048,1,585.236,0.433576
1402,77.2066,"training_e3050_00068","TCL (Conv) DLH",800,0,3,0.00364651,16,"(3, 'TCL')",0.00147584,1,422.536,0.611669
1403,75.005,"training_e3050_00069","TCL (Conv) DLH",800,2,2,0.00364651,32,"(4, 'TCL')",7.49E-05,1,460.246,0.572668
1404,57.2461,"training_e3050_00070","TCL (Conv) DLH",800,0,2,0.00364651,16,"(5, 'TCL')",1.94E-05,1,519.37,0.672605
1405,76.5657,"training_e3050_00071","TCL (Conv) DLH",800,2,2,0.00364651,32,"(6, 'TCL')",0.000197514,1,585.459,0.547269
1406,68.9573,"training_e3050_00072","TCL (Conv) DLH",400,1,1,0.00182325,32,"(3, 'TCL')",0.00932811,1,533.605,3.18504
1407,78.5671,"training_e3050_00073","TCL (Conv) DLH",400,0,2,0.00182325,8,"(4, 'TCL')",0.000897119,1,738.384,0.605691
1408,80.5488,"training_e3050_00074","TCL (Conv) DLH",400,2,4,0.00182325,64,"(5, 'TCL')",0.000550939,1,381.202,0.548312
1409,61.7046,"training_e3050_00075","TCL (Conv) DLH",400,1,2,0.00182325,32,"(6, 'TCL')",0.00181421,1,469.388,0.650097
1410,81.5373,"training_e3050_00076","TCL (Conv) DLH",600,0,1,0.00273488,32,"(3, 'TCL')",1.37E-05,1,559.005,0.646562
1411,82.8495,"training_e3050_00077","TCL (Conv) DLH",600,0,4,0.00273488,32,"(4, 'TCL')",0.000282837,1,342.294,0.416648
1412,82.1137,"training_e3050_00078","TCL (Conv) DLH",600,2,3,0.00273488,64,"(5, 'TCL')",4.82E-05,1,471.894,0.628966
1413,77.4931,"training_e3050_00079","TCL (Conv) DLH",600,2,3,0.00273488,8,"(6, 'TCL')",2.14E-05,1,655.454,0.532001
1414,76.8506,"training_e3050_00080","TCL (Conv) DLH",800,2,1,0.00364651,16,"(3, 'TCL')",9.83E-05,1,557.963,0.517753
1415,64.3328,"training_e3050_00081","TCL (Conv) DLH",800,2,3,0.00364651,16,"(4, 'TCL')",8.73E-05,1,420.614,0.728655
1416,81.7973,"training_e3050_00082","TCL (Conv) DLH",800,1,4,0.00364651,16,"(5, 'TCL')",0.000175828,1,352.254,0.4317
1417,81.6844,"training_e3050_00083","TCL (Conv) DLH",800,1,1,0.00364651,8,"(6, 'TCL')",1.20E-05,1,767.059,0.511462
1418,74.8573,"training_e3050_00084","TCL (Conv) DLH",400,1,3,0.00182325,16,"(3, 'TCL')",0.000906624,1,466.853,0.658634
1419,58.7351,"training_e3050_00085","TCL (Conv) DLH",400,1,2,0.00182325,32,"(4, 'TCL')",0.0112198,1,522.087,1.45228
1420,68.0343,"training_e3050_00086","TCL (Conv) DLH",400,0,2,0.00182325,16,"(5, 'TCL')",0.000721348,1,524.924,0.65943
1421,82.6363,"training_e3050_00087","TCL (Conv) DLH",400,2,4,0.00182325,8,"(6, 'TCL')",0.00648593,1,523.164,0.421644
1422,77.5155,"training_e3050_00088","TCL (Conv) DLH",600,2,2,0.00273488,32,"(3, 'TCL')",0.00047548,1,455.716,0.534106
1423,38.1609,"training_e3050_00089","TCL (Conv) DLH",600,0,1,0.00273488,64,"(4, 'TCL')",0.0111975,1,570.199,1.28142
1424,75.3113,"training_e3050_00090","TCL (Conv) DLH",600,0,4,0.00273488,64,"(5, 'TCL')",0.00020485,1,382.091,0.547964
1425,71.5252,"training_e3050_00091","TCL (Conv) DLH",600,1,4,0.00273488,32,"(6, 'TCL')",0.00581253,1,393.929,0.541708
1426,72.2396,"training_e3050_00092","TCL (Conv) DLH",800,2,1,0.00364651,32,"(3, 'TCL')",2.27E-05,1,557.618,0.593784
1427,69.9047,"training_e3050_00093","TCL (Conv) DLH",800,2,0,0.00364651,8,"(4, 'TCL')",0.000197832,1,815.637,0.584536
1428,73.2463,"training_e3050_00094","TCL (Conv) DLH",800,0,1,0.00364651,32,"(5, 'TCL')",0.000253623,1,505.905,0.556088
1429,74.3559,"training_e3050_00095","TCL (Conv) DLH",800,1,0,0.00364651,32,"(6, 'TCL')",4.59E-05,1,517.37,0.577123
1430,81.7513,"training_e3050_00096","TCL (Conv) DLH",400,1,3,0.00182325,64,"(3, 'TCL')",1.97E-05,1,453.798,0.662924
1431,59.2509,"training_e3050_00097","TCL (Conv) DLH",400,1,2,0.00182325,32,"(4, 'TCL')",8.34E-05,1,478.566,0.648445
1432,31.9182,"training_e3050_00098","TCL (Conv) DLH",400,2,1,0.00182325,64,"(5, 'TCL')",0.00777849,1,565.94,7.26332
1433,71.3859,"training_e3050_00099","TCL (Conv) DLH",400,2,1,0.00182325,64,"(6, 'TCL')",0.000710309,1,592.368,0.550296
1434,80.0973,"training_e3050_00100","TCL (Conv) DLH",600,0,3,0.00273488,64,"(3, 'TCL')",0.00672524,1,463.248,0.605348
1435,62.2276,"training_e3050_00101","TCL (Conv) DLH",600,1,4,0.00273488,64,"(4, 'TCL')",1.92E-05,1,363.814,0.676439
1436,64.7109,"training_e3050_00102","TCL (Conv) DLH",600,0,2,0.00273488,32,"(5, 'TCL')",3.90E-05,1,505.336,0.638914
1437,71.0845,"training_e3050_00103","TCL (Conv) DLH",600,0,0,0.00273488,64,"(6, 'TCL')",2.41E-05,1,526.969,0.663179
1438,78.3738,"training_e3050_00104","TCL (Conv) DLH",800,1,3,0.00364651,32,"(3, 'TCL')",2.25E-05,1,422.88,0.555135
1439,74.1851,"training_e3050_00105","TCL (Conv) DLH",800,0,3,0.00364651,8,"(4, 'TCL')",0.0167807,1,663.444,2.93146
1440,70.8603,"training_e3050_00106","TCL (Conv) DLH",800,2,3,0.00364651,64,"(5, 'TCL')",0.000298017,1,507.292,0.591262
1441,68.0268,"training_e3050_00107","TCL (Conv) DLH",800,0,4,0.00364651,8,"(6, 'TCL')",0.0184365,1,558,0.689109
1442,78.0346,"training_e3050_00108","TCL (Conv) DLH",400,1,3,0.00182325,64,"(3, 'TCL')",0.0289169,1,435.824,14.5519
1443,82.2813,"training_e3050_00109","TCL (Conv) DLH",400,1,0,0.00182325,16,"(4, 'TCL')",0.000361337,1,570.468,0.445586
1444,70.561,"training_e3050_00110","TCL (Conv) DLH",400,2,4,0.00182325,64,"(5, 'TCL')",1.09E-05,1,382.53,0.682092
1445,50.2702,"training_e3050_00111","TCL (Conv) DLH",400,0,1,0.00182325,64,"(6, 'TCL')",2.14E-05,1,540.176,0.690178
1446,76.055,"training_e3050_00112","TCL (Conv) DLH",600,0,2,0.00273488,16,"(3, 'TCL')",5.26E-05,1,464.218,0.56467
1447,65.9412,"training_e3050_00113","TCL (Conv) DLH",600,2,0,0.00273488,16,"(4, 'TCL')",0.000997147,1,631.826,0.732226
1448,65.8604,"training_e3050_00114","TCL (Conv) DLH",600,0,3,0.00273488,8,"(5, 'TCL')",0.000504506,1,638.45,0.597558
1449,79.3515,"training_e3050_00115","TCL (Conv) DLH",600,2,3,0.00273488,32,"(6, 'TCL')",0.00865481,1,444.383,0.587165
1450,65.439,"training_e3050_00116","TCL (Conv) DLH",800,0,3,0.00364651,64,"(3, 'TCL')",7.19E-05,1,466.768,0.619746
1451,58.6243,"training_e3050_00117","TCL (Conv) DLH",800,2,4,0.00364651,64,"(4, 'TCL')",0.0076592,1,389.848,1.79957
1452,53.7591,"training_e3050_00118","TCL (Conv) DLH",800,0,2,0.00364651,32,"(5, 'TCL')",0.0153418,1,523.92,1.07013
1453,64.9641,"training_e3050_00119","TCL (Conv) DLH",800,1,1,0.00364651,64,"(6, 'TCL')",0.0153214,1,513.563,5.35517
